Name,Rank,Position
Adam,4,Pitcher
Adam,8,Catcher
Adam,1,FirstBase
Adam,2,SecondBase
Adam,5,ShortStop
Adam,3,ThirdBase
Adam,7,RightField
Adam,9,CenterField
Adam,6,LeftField
Adam,10,Rover
Barbara,10,Pitcher
Barbara,1,Catcher
Barbara,9,FirstBase
Barbara,5,SecondBase
Barbara,8,ShortStop
Barbara,6,ThirdBase
Barbara,4,RightField
Barbara,2,CenterField
Barbara,7,LeftField
Barbara,3,Rover
Christina,4,Pitcher
Christina,8,Catcher
Christina,7,FirstBase
Christina,3,SecondBase
Christina,1,ShortStop
Christina,2,ThirdBase
Christina,10,RightField
Christina,9,CenterField
Christina,6,LeftField
Christina,5,Rover
Derrick,1,Pitcher
Derrick,6,Catcher
Derrick,4,FirstBase
Derrick,3,SecondBase
Derrick,9,ShortStop
Derrick,8,ThirdBase
Derrick,5,RightField
Derrick,7,CenterField
Derrick,10,LeftField
Derrick,2,Rover
Ethan,10,Pitcher
Ethan,8,Catcher
Ethan,5,FirstBase
Ethan,3,SecondBase
Ethan,6,ShortStop
Ethan,2,ThirdBase
Ethan,9,RightField
Ethan,4,CenterField
Ethan,1,LeftField
Ethan,7,Rover
Freddy,1,Pitcher
Freddy,10,Catcher
Freddy,8,FirstBase
Freddy,9,SecondBase
Freddy,6,ShortStop
Freddy,2,ThirdBase
Freddy,5,RightField
Freddy,7,CenterField
Freddy,3,LeftField
Freddy,4,Rover
Ginny,6,Pitcher
Ginny,1,Catcher
Ginny,5,FirstBase
Ginny,10,SecondBase
Ginny,4,ShortStop
Ginny,2,ThirdBase
Ginny,9,RightField
Ginny,7,CenterField
Ginny,3,LeftField
Ginny,8,Rover
Hank,10,Pitcher
Hank,6,Catcher
Hank,2,FirstBase
Hank,8,SecondBase
Hank,7,ShortStop
Hank,3,ThirdBase
Hank,5,RightField
Hank,1,CenterField
Hank,9,LeftField
Hank,4,Rover
Ingrid,2,Pitcher
Ingrid,3,Catcher
Ingrid,5,FirstBase
Ingrid,8,SecondBase
Ingrid,1,ShortStop
Ingrid,6,ThirdBase
Ingrid,7,RightField
Ingrid,4,CenterField
Ingrid,10,LeftField
Ingrid,9,Rover
Jennifer,4,Pitcher
Jennifer,5,Catcher
Jennifer,7,FirstBase
Jennifer,3,SecondBase
Jennifer,6,ShortStop
Jennifer,1,ThirdBase
Jennifer,9,RightField
Jennifer,10,CenterField
Jennifer,2,LeftField
Jennifer,8,Rover
Ken,1,Pitcher
Ken,10,Catcher
Ken,8,FirstBase
Ken,7,SecondBase
Ken,6,ShortStop
Ken,5,ThirdBase
Ken,9,RightField
Ken,3,CenterField
Ken,2,LeftField
Ken,4,Rover
Lou,10,Pitcher
Lou,5,Catcher
Lou,2,FirstBase
Lou,4,SecondBase
Lou,3,ShortStop
Lou,9,ThirdBase
Lou,7,RightField
Lou,8,CenterField
Lou,6,LeftField
Lou,1,Rover
Marcia,6,Pitcher
Marcia,3,Catcher
Marcia,5,FirstBase
Marcia,4,SecondBase
Marcia,1,ShortStop
Marcia,7,ThirdBase
Marcia,2,RightField
Marcia,10,CenterField
Marcia,9,LeftField
Marcia,8,Rover
Nick,4,Pitcher
Nick,7,Catcher
Nick,8,FirstBase
Nick,10,SecondBase
Nick,5,ShortStop
Nick,2,ThirdBase
Nick,1,RightField
Nick,3,CenterField
Nick,9,LeftField
Nick,6,Rover
Olive,2,Pitcher
Olive,9,Catcher
Olive,7,FirstBase
Olive,8,SecondBase
Olive,3,ShortStop
Olive,1,ThirdBase
Olive,10,RightField
Olive,4,CenterField
Olive,6,LeftField
Olive,5,Rover
Patrick,2,Pitcher
Patrick,1,Catcher
Patrick,3,FirstBase
Patrick,4,SecondBase
Patrick,8,ShortStop
Patrick,10,ThirdBase
Patrick,5,RightField
Patrick,7,CenterField
Patrick,6,LeftField
Patrick,9,Rover
